Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.014643583,-6.322552185,3.181035004,6.575077057,9.660501443
0.024675583,-4.289929047,1.960323486,7.520960083,8.877567232
0.034706583,-4.264481964,1.414109344,8.704099731,9.795247
0.044737583,-1.87215683,0.574355621,10.37986496,10.56297554
0.054768583,1.095422058,0.058977356,11.19177658,11.24541199
0.064800583,2.89123764,-0.309256897,12.20606735,12.54762827
0.074831583,4.024530945,-0.878074036,12.82368301,13.46902778
0.084862583,2.818339233,-1.039438477,14.79418533,15.09607194
0.094893583,1.561103668,-1.454824677,15.26301041,15.41145828
0.104924583,1.221160583,-2.27586731,12.86379959,13.12052381
0.114956583,0.759670258,-2.113455048,9.982740784,10.23224827
0.124987583,-0.17663269,-1.210083618,8.51234848,8.59974291
0.135018583,-0.580941925,-0.264499969,8.444988556,8.469078194
0.145049583,-0.780926056,0.416733398,10.50201096,10.5392479
0.155081583,0.241447906,0.694106598,10.3873494,10.413314
0.165112583,2.403102722,0.37916153,8.950936432,9.275663274
0.175143583,2.455044708,-0.68796936,8.92773468,9.284664392
0.185174583,1.073717194,-1.626817017,10.29948212,10.48230576
0.195205583,1.348845062,-1.707050171,9.988578644,10.22277392
0.205237583,2.883603516,-0.818647614,10.74001602,11.15048417
0.215268583,4.159250793,0.040415955,9.980046387,10.81213792
0.225299583,3.491788788,0.074395294,9.275461578,9.911221473
0.235330583,1.957329712,-0.052540741,10.01058289,10.20027793
0.245362583,2.205363922,-0.172890472,6.447093201,6.81604958
0.255393583,1.623374176,-1.364113312,-0.852926331,2.285526672
0.265424583,1.7995578,-2.89363266,3.01293457,4.548548447
0.275455583,0.738414459,-1.907483368,5.298681335,5.679768711
0.285486583,-0.19190094,-1.103804626,4.132606201,4.281780545
0.295518583,-1.55616394,0.394878845,-0.194894714,1.617269137
0.305549583,-0.666264496,0.364192657,-0.864152985,1.150349969
0.315580583,3.349584503,-1.374441833,3.320544891,4.91272074
0.325611583,5.86210968,-1.991758118,8.70080658,10.67873894
0.335642583,5.930367737,-1.919159088,10.75842773,12.43367204
0.345674583,4.202061768,-2.588567047,10.15323624,11.28920761
0.355705583,1.996697845,-3.312611389,9.220376129,9.998776548
0.365736583,1.38072876,-3.443888397,8.538693695,9.309998347
0.375767583,1.481918335,-3.796255646,7.711513824,8.722103206
0.385799583,1.427431641,-3.62605957,7.07548645,8.077646786
0.395830583,1.465302887,-3.839815063,6.080355835,7.339074829
0.405861583,1.666334839,-4.59379715,4.007017365,6.319480375
0.415892958,1.75510025,-4.72133194,2.829416199,5.777278615
0.425923958,0.894240417,-4.133354645,3.566184082,5.53190342
0.435955958,0.793200531,-3.358565826,5.710475006,6.672230233
0.445986958,1.575174408,-3.453767853,7.445816345,8.357623337
0.456017958,3.240760803,-4.518204346,9.151369629,10.70814023
0.466048958,6.709198151,-6.450835419,10.7973468,14.25515049
0.476080958,8.632997589,-7.414082336,11.61135406,16.25794598
