Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.000896792,-4.078269196,7.050338745,6.80993866,10.61672363
0.010928792,-3.981121216,7.22532486,7.019053802,10.83151706
0.020961792,-3.723955994,7.117399292,8.171207886,11.45835325
0.030993792,-3.646716614,6.440057831,10.03004242,12.46493634
0.041025792,-4.007167053,5.378764801,11.57228531,13.37558544
0.051058792,-4.047133942,4.271517334,12.36877899,13.69714741
0.061090792,-3.632047119,3.364703064,12.07958038,13.05485562
0.071122792,-3.241808624,2.392025757,11.47858017,12.16506938
0.081155792,-2.924468536,1.977388,12.32716553,12.82269821
0.091187792,-1.925745392,1.79491745,10.55874298,10.88197029
0.101219792,-1.74102951,2.370919647,7.873327332,8.404863295
0.111252792,-1.50946106,3.553759918,8.307274933,9.16070407
0.121284792,-0.996777191,4.160448303,8.723259888,9.715871444
0.131316792,-0.344733124,4.024381256,9.605974274,10.42061549
0.141349792,0.048798523,2.969075775,10.27987289,10.70016724
0.151381792,0.116158447,1.829944611,10.59766205,10.75512115
0.161413792,-0.228424988,0.696651306,11.05660767,11.08088778
0.171446792,-1.608105927,-0.285306702,12.8636499,12.96691534
0.181478792,-3.628753967,-0.68916687,13.95024033,14.43093938
0.191510792,-5.283413086,-0.83541275,13.06183777,14.1146723
0.201543792,-6.091133423,-0.831670532,11.63889679,13.16273151
0.211575792,-5.613177338,-0.831520844,10.01357666,11.50960053
0.221607792,-4.470603333,-0.343086548,8.256231079,9.395177176
0.231640792,-3.490591278,0.670006714,6.293213196,7.22756313
0.241672792,-3.002606049,1.725761261,4.169579315,5.420266292
0.251704792,-3.190764771,2.424657898,2.725532227,4.846490654
0.261737792,-3.809577942,2.960543518,2.007176056,5.225558127
0.271769792,-4.381837921,2.959944763,2.447709961,5.826925486
0.281801792,-4.633614349,2.358645172,3.391647034,6.207806262
0.291834792,-4.600383453,2.083666992,4.281546478,6.620939231
0.301866792,-4.686304779,2.091899872,5.652545471,7.634708106
0.311898792,-4.805906067,2.196083221,6.431076508,8.323356275
0.321931792,-4.453838196,2.521207123,6.632707214,8.37770643
0.331963792,-3.856879578,3.120860138,6.59932663,8.256294571
0.341995792,-3.867507477,3.596421204,6.837331696,8.639500233
0.352028792,-3.638184357,3.583847351,5.764812012,7.701519641
0.362060792,-4.082610168,3.822600861,5.173691254,7.618862403
0.372092792,-4.383334808,3.634741516,5.673950958,8.038575086
0.382125792,-5.237758026,3.440744934,6.157295837,8.785506637
0.392157792,-6.165528717,3.063379669,6.537804565,9.494257627
0.402189792,-6.548282776,2.658172302,6.10430603,9.338545894
0.412222792,-6.420598297,3.038830719,5.334756317,8.883591593
0.422254792,-5.716013489,3.881727905,5.375022583,8.75394137
0.432286792,-5.212610321,4.294868774,4.867128754,8.325031318
0.442319792,-4.838687897,4.396507416,5.005291443,8.233779232
0.452351792,-4.671635284,4.732558594,6.30563736,9.16418843
0.462383792,-4.837340698,4.435276794,7.542215881,9.997828048
0.472417292,-4.852459259,4.13739624,8.104746094,10.31267753
0.482449292,-5.321284332,4.219425659,8.554560699,10.92245982
0.492481292,-6.127507782,4.275708618,9.154962158,11.81699488
0.502514292,-6.739584961,4.325554962,9.684411163,12.56663244
0.512546292,-7.271428986,4.380041656,10.25502457,13.31254947
0.522578292,-7.62544281,4.582271118,10.86051544,14.03906629
0.532611292,-8.089627533,4.550686798,11.51375702,14.78909817
0.542643292,-8.564140778,4.074077911,11.85534668,15.18195847
0.552675292,-9.011260986,3.263812866,12.25441681,15.55718581
0.562708292,-9.381441193,2.470312958,12.60573624,15.90655434
0.572740292,-9.814191284,2.112407227,12.53388565,16.05860842
0.582773292,-9.81239502,1.911225586,12.42072098,15.9439703
