Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.002623208,-2.580633545,5.947881317,8.694070587,10.84545181
0.012636208,-2.813549194,6.025569763,8.896449738,11.10722143
0.022650208,-2.988086243,6.008804626,8.721912689,11.0048241
0.032663208,-3.099005585,5.890849915,8.504414978,10.79958436
0.042676208,-3.217409363,6.020031281,8.622519379,10.99728785
0.052689208,-3.235222321,5.960305481,9.01784729,11.28332729
0.062703208,-3.251388702,5.725892944,9.41796524,11.49153809
0.072716208,-3.19315979,5.586682434,9.410630493,11.40031826
0.082729208,-3.082240448,5.537734222,9.222322083,11.19008182
0.092743208,-2.876568146,5.479056244,9.156009979,11.05111851
0.102756208,-2.724634094,5.359155579,9.209897919,10.99847258
0.112769208,-2.643951874,5.174439697,9.174122314,10.85955008
0.122783208,-2.709066467,5.115013275,9.045390015,10.73878403
0.132796208,-2.714305573,5.071603546,8.849597168,10.55480873
0.142809208,-2.723586273,5.081483002,8.679999847,10.42025859
0.152823208,-2.656226349,5.242548065,8.527167664,10.35627525
0.162836208,-2.53318222,5.4982164,8.451125793,10.39562037
0.172849208,-2.323019257,5.774691467,8.339008942,10.40589017
0.182863208,-1.930385742,6.04937027,8.051007843,10.25377965
0.192876208,-1.567390594,6.264772339,8.038284302,10.31106688
0.202889208,-1.194216614,6.457272034,8.606053619,10.82527941
0.212903208,-0.742456055,6.325246582,9.605674896,11.52514536
0.222916208,-0.40954834,5.963448944,10.29124924,11.90127153
0.232929208,-0.310304718,5.451214142,10.71007828,12.0215557
0.242943208,-0.578546906,4.936135254,10.50066376,11.61740449
0.252956208,-1.022972717,4.571792908,9.570348358,10.65548362
0.262969208,-1.464255066,4.573738861,8.531808014,9.790550447
0.272983208,-1.435963898,4.89676712,7.807464294,9.327208546
0.282996208,-0.990041199,5.271887054,7.313790894,9.069978607
0.293009208,-0.58034317,5.480253754,7.031477966,8.93373728
0.303023208,-0.296683044,5.492677917,7.008425903,8.909296559
0.313036208,-0.346679077,5.347629547,7.028484192,8.838377577
0.323049208,-0.593066711,5.09809845,6.860683136,8.568039975
0.333062208,-0.778531036,4.828658752,6.724316711,8.314955872
0.343076208,-0.801583099,4.548291779,6.75605072,8.183746996
0.353089208,-0.680335236,4.258943481,6.813980255,8.064228576
0.363102208,-0.792901154,3.981719971,6.584208069,7.735281641
0.373116208,-0.777782593,3.923491058,6.526577911,7.654733639
0.383129208,-0.439037018,4.001778259,6.643035736,7.767683473
0.393142958,0.127235413,4.012106781,6.706354065,7.815905227
0.403156958,0.561931458,3.977229309,6.774462433,7.875751469
0.413169958,0.511935425,3.900139618,7.006779327,8.035429264
0.423182958,-0.011526031,3.832330627,6.828799438,7.830670001
0.433196958,-0.63647644,3.73488327,6.183341675,7.251770099
0.443209958,-1.235830078,3.59806778,5.733676758,6.881018594
0.453222958,-1.254391479,3.445235596,5.744903412,6.815208104
0.463236958,-0.918190613,3.328179016,6.247558136,7.138055213
0.473249958,-0.84244812,3.192411346,6.911876678,7.65997704
0.483262958,-0.737067261,3.06802002,7.493866425,8.131054604
0.493276958,-0.448467407,3.086431732,7.759264526,8.362617404
0.503289958,-0.134719849,3.112627258,7.564070435,8.180572072
0.513302958,0.018411713,2.800526276,7.175628204,7.702786933
0.523316958,-0.086669769,2.5812323,6.561605072,7.05159081
0.533329958,-0.436941376,3.076252899,6.216871948,6.950089675
0.543342958,-0.84484314,3.273692322,6.089337158,6.964972963
0.553356958,-1.222956848,2.684667206,5.400020599,6.153314873
0.563369958,-1.766027527,2.616858215,6.261329498,7.012207016
0.573382958,-1.984273682,2.477797394,6.153703308,6.924224604
0.583396958,-1.698667603,2.898572388,7.061864777,7.820302273
0.593409958,-1.221310272,3.332519989,8.846902771,9.532312253
0.603422958,-0.881965942,3.38042038,10.05204666,10.6418395
0.613436958,-1.037342834,3.327879639,10.86785019,11.41319547
0.623449958,-1.693428497,2.889740753,12.29124023,12.7394226
0.633462959,-1.996248779,2.290686493,14.47924026,14.79461566
0.643476958,-1.373394012,1.904040527,17.31658997,17.475007
0.653489958,-0.197439423,1.813029785,19.23724594,19.323501
0.663502958,1.064885559,2.670895844,20.09196854,20.29667129
0.673516958,1.013542328,3.269950104,19.66041595,19.95624707
0.683529958,1.939516754,4.266876984,21.33169052,21.84053536
0.693542958,3.924688568,5.520220642,24.90266464,25.80733854
0.703556958,5.874084778,6.012696533,28.72870834,29.93319353
0.713569958,7.371870117,6.527326355,31.48866898,32.9922223
0.723582958,7.403304749,7.005432129,32.2886055,33.8591058
0.733595958,6.569538574,7.697443085,31.39002411,32.98095027
0.743609958,6.502328339,8.444689178,29.38554245,31.25864927
0.753622958,7.260950775,9.080117798,25.69227264,28.20040459
0.763635958,7.419620819,9.678273926,21.4500943,24.67440586
0.773649958,7.287894745,9.646090851,16.88503738,20.76691999
0.783662958,5.971232758,8.792865143,13.01169205,16.80101866
0.793675958,3.966751099,6.865473175,9.657467194,12.49545953
0.803689958,2.912942505,5.661377106,7.211104431,9.619586888
