Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.01610875,-2.755619659,6.231691132,6.248605957,9.24513334
0.02612175,-3.177592163,5.463787994,7.769143982,10.0154715
0.03613575,-3.371738434,4.747377777,8.981023865,10.70350436
0.04614875,-3.245999908,3.883823547,9.083710327,10.39876887
0.05616275,-2.881507874,3.612886963,8.202193451,9.414457883
0.06617575,-3.264411621,3.660188599,7.734565887,9.158431813
0.07618975,-3.461252289,3.648512878,7.414980469,8.959567455
0.08620275,-3.526366882,3.643423462,7.204069061,8.809563494
0.09621575,-3.199297028,3.5500177,6.796466675,8.308434654
0.10622975,-2.350412292,3.470982056,6.736890564,7.934598216
0.11624275,-1.814676361,3.467838593,7.111411743,8.117335264
0.12625675,-1.761087799,3.577859802,7.529791718,8.520579459
0.13626975,-1.816622314,3.666625214,8.179440765,9.145901176
0.14628375,-1.63699585,3.883973236,9.119336243,10.04625786
0.15629675,-1.580712891,3.667822723,9.48592392,10.2924404
0.16631075,-2.170636139,2.901715851,9.770332489,10.42070118
0.17632375,-3.099754028,2.391127625,9.704619141,10.4644923
0.18633675,-3.554658051,2.749781799,8.720864868,9.810727692
0.19635075,-2.72747818,4.374652863,8.118218079,9.616766071
0.20636375,-0.726289673,6.126909027,8.40472229,10.42621061
0.21637775,0.490529938,7.724387054,8.951984253,11.83405244
0.22639075,0.700094147,8.790769501,9.291178894,12.80990888
0.23640475,0.615070953,8.763675842,9.52918396,12.96092873
0.24641775,-0.196690979,7.481741638,9.671088867,12.22886361
0.25643175,-1.670675812,5.929170227,9.58187439,11.39116035
0.26644475,-2.796185303,4.616100769,9.327852631,10.77663553
0.27645875,-3.757935333,3.435505829,9.139244843,10.46186286
0.28647175,-4.563859406,2.823278961,9.080417175,10.54768661
0.29648475,-4.778213654,2.765948181,9.277108154,10.79567185
0.30649875,-4.149371338,2.842738495,9.415270844,10.67453838
0.31651175,-3.415896606,2.7988797,9.184750214,10.19125673
0.32652575,-3.106340332,2.381397858,8.77325592,9.606790591
0.336539083,-3.346291351,2.065105591,7.570806427,8.5310865
0.346553083,-4.54350174,1.84760788,5.965993652,7.723350516
0.356566083,-5.245841217,1.832040253,4.118834839,6.916648176
0.366580083,-6.446943512,2.688708801,3.247945862,7.703336159
0.376593083,-7.348818054,3.213218079,2.606230316,8.433405817
0.386607083,-8.195607147,2.014061737,2.874472504,8.915548966
0.396620083,-10.14874557,0.36973114,3.482059021,10.73584989
0.406633083,-9.800569611,-0.814905396,3.879183197,10.5718162
0.416647083,-7.689509583,-0.917591858,4.58436676,8.999275028
0.426660083,-7.06845108,-0.509241028,6.62971344,9.704402475
0.436674083,-1.720671844,0.298030243,11.15764755,11.29347743
0.446687083,-4.331841888,0.222587128,10.98131424,11.80693278
0.456701083,-3.665128326,0.441282349,14.78101273,15.23503308
0.466714083,-4.155358887,1.561403046,13.8457576,14.53994465
0.476728083,-3.228785706,2.582729187,12.81260605,13.46322476
0.486741083,-2.144141235,3.075055389,10.67056046,11.30991458
0.496755083,-6.174060974,2.517165527,4.897365875,8.272807487
0.506768083,-9.067993011,3.411256256,3.316503296,10.2403301
0.516781083,-10.01028351,4.166735229,4.699327698,11.81740831
0.526795083,-9.313332825,3.776646423,5.076842651,11.25946525
0.536808083,-6.768325195,3.982019348,4.378694458,8.991088321
0.546822083,-6.178701324,3.996389465,2.837349701,7.886572902
0.556835083,-4.913681946,3.426823883,1.888772278,6.281309808
0.566849083,-4.406686249,3.603456573,0.802181854,5.748676256
0.576862083,-5.807024231,3.419339447,3.247945862,7.480813124
0.586876083,-6.255192261,2.433339844,5.585335236,8.731812109
0.596889083,-14.17836594,-0.295036469,8.570278015,16.5699358
0.606903083,-10.85093536,0.229472809,8.104596405,13.5454767
0.616916083,-3.343297577,1.920206909,6.442153473,7.50774098
0.626929083,-1.869312744,3.506009216,6.641239471,7.739024
0.636943083,-3.907025299,1.29645401,2.644251251,4.892617333
0.646956083,-0.505049744,-0.936602325,2.355052643,2.584293348
0.656970083,-5.89249649,-3.439697113,7.224726105,9.937288282
0.666983083,-2.214195557,-4.632865906,10.85752167,12.01049063
0.676997083,1.446741486,-5.841153259,10.63747925,12.22162416
0.687010083,2.457888794,-7.255561981,11.0932814,13.48129405
0.697024083,1.599274292,-8.757837982,9.992919617,13.38341686
0.707037083,0.601149902,-8.647966461,8.61069397,12.21854147
0.717051083,1.694476318,-7.943381653,5.618266754,9.875904181
0.727064083,2.862647095,-7.891888733,2.992726593,8.912523134
0.737077083,3.328179016,-6.110443268,1.51993927,7.122114003
0.747091083,1.994751892,-5.52396286,2.340682526,6.322340981
0.757104083,0.248782654,-6.990762634,5.241350555,8.740961655
0.767118083,-1.639390869,-12.10547653,11.04268661,16.46727337
0.777131083,-5.207520905,-15.25672348,7.328909454,17.70872099
0.787145083,-7.926317139,-14.04259827,7.358248444,17.72469717
0.797158083,-11.47079636,-10.63074326,7.285948792,17.25331623
0.807172083,-14.11310165,-8.422385559,3.961212616,16.90583988
0.817185083,-16.26338013,-6.50098114,-0.914448395,17.53842937
0.827199083,-18.80060394,-3.165766754,-5.050198059,19.72281137
0.837212083,-20.05484573,-0.448766785,-7.651788025,21.46970165
0.847226083,-21.66130508,0.742605743,-10.87249054,24.24818863
0.857239083,-21.13140701,0.290396118,-11.79083084,24.20009058
0.867252083,-18.6910318,-0.291144562,-13.24146423,22.90798572
0.877266083,-17.8523259,1.551822968,-29.88355682,34.84452128
0.887279083,-30.68139771,6.154751129,-56.87677414,64.91684345
0.897293083,-29.0053331,5.481002197,-26.68171509,39.79025827
0.907306083,-18.05186096,-0.028889923,-17.3864946,25.06313455
0.917320083,-9.898765411,-7.624394989,-8.498128052,15.11076226
0.927333083,-7.561675415,-6.997348938,-7.454947357,12.71684188
0.937347083,-6.808591461,-1.831291809,-2.149080963,7.370827386
0.947360083,-7.017706604,-2.808459778,5.419330444,9.300795384
0.957374083,-5.191354523,-4.047732697,10.0767453,12.03640717
0.967387083,-6.299350433,-5.506299591,15.7607254,17.84381171
0.977400083,-7.867190094,-5.825435944,17.31673965,19.89215564
0.987414083,-10.84869003,-5.097499695,11.45762375,16.58178882
0.997427083,-11.88094345,-3.021017761,-0.296383667,12.26259389
1.007441083,-12.26893661,-2.945275269,-6.056106262,13.99563772
1.017454083,-10.6805896,-6.519991608,-4.678670654,13.35946271
1.027468083,-7.607779541,-9.782008209,-4.686454468,13.24873011
1.037481083,-4.75755661,-9.769883423,-4.148024139,11.63146901
1.047495083,-3.66707428,-8.848549347,-3.811823273,10.30894058
1.057508083,-3.877237244,-7.437733154,-4.253704376,9.404618229
1.067522083,-4.539310455,-6.536457367,-3.45990509,8.677647006
1.077535083,-7.135811005,-6.66593811,-0.909658356,9.807242625
1.087549083,-8.693172455,-7.135361938,-0.716559906,11.26934317
1.097562083,-8.569529572,-7.282805328,0.297730865,11.2500993
1.107575083,-7.478598175,-6.902446289,0.866248627,10.21389162
1.117589083,-5.578748932,-7.049889679,1.070723419,9.053719278
1.127602083,-3.46813797,-8.522078247,1.493893433,9.321240058
1.137616083,-1.838476868,-9.860894165,3.358565826,10.57814707
1.147629083,4.7961763,-8.951834564,3.515589294,10.74700038
1.157643083,3.333118744,-8.015381927,4.865482178,9.951328797
1.167656083,-6.297853546,-2.236499176,6.082900543,9.03695562
1.177670083,-7.344028015,0.510887604,6.130351868,9.580029627
1.187683083,-11.05526047,-0.066012726,3.314407654,11.54159607
1.197697083,-14.21818314,0.256566467,-1.010099487,14.25632698
1.207710083,-18.68399643,4.410129089,-2.305505676,19.33536443
1.217724083,-26.5687001,8.703351288,-4.285139008,28.2843873
1.227737083,-33.06264587,10.99358871,-11.38891663,36.6565815
1.237750083,-32.25612305,12.80721725,-14.97411118,37.79823135
1.247764083,-27.09006592,10.27508286,-13.82959122,32.10461949
1.257777083,-24.75207779,5.448070679,-12.02075272,28.05076336
1.267791083,-22.33295837,3.613785095,-10.27613068,24.84792414
1.277804083,-15.88451797,1.463057556,-8.546627197,18.09705184
1.287818083,-11.96776291,-0.23171814,-7.145840149,13.94073433
1.297831083,-9.60762085,-4.539609833,-6.093378754,12.24923265
1.307845083,-7.582033081,-6.883435822,-3.915557556,10.9635991
1.317858083,-5.326972504,-8.075856171,2.755020905,10.0591366
1.327872083,-6.422843628,-10.54227722,4.050726471,12.9923406
1.337885083,-10.10683273,-8.840166779,6.490353241,14.91379569
1.347899083,-11.77286819,-8.554710388,0.573457489,14.56407734
1.357912083,-14.2066571,-0.453407135,1.696272583,14.31474851
1.367925083,-3.160976715,-0.741707611,-3.991749115,5.145480053
1.377939083,3.72440506,-5.65269516,-4.727618866,8.256787254
1.387952083,9.423204346,-6.53496048,2.416425018,11.71928319
1.397966083,8.082741852,-5.441484375,4.348906403,10.67021344
1.407979083,4.238735504,-3.701502686,4.013004913,6.911744298
1.417993083,-0.923280029,-3.771257629,2.913241882,4.854050719
1.428006083,-8.937614136,-4.080364838,-2.153721313,10.05827217
1.438020083,-12.97980835,-2.799628143,-5.340594177,14.31206794
1.448033083,-14.79298782,-1.646875305,-6.383026428,16.19529911
1.458047083,-15.48889069,-2.564766541,-6.926995239,17.16004152
1.468060083,-12.98025742,-3.893703003,-4.824018402,14.38468488
1.478074083,-10.31849258,-4.265978851,-3.088826752,11.58493485
1.488087083,-14.97456024,-0.526754608,-0.26090744,14.98609347
1.498100083,-14.89776993,0.247884521,4.878355408,15.67811682
1.508114083,-12.52849686,-2.438728638,2.322719879,12.97326707
1.518127083,-10.09111542,-4.364923096,6.469696198,12.75696409
1.528141083,-11.29790588,-4.016298065,10.33241364,15.82820581
1.538154083,-10.30292496,-1.652264099,9.806706848,14.31962774
1.548168083,-8.239615631,-1.197809143,8.645421753,12.00288839
1.558181083,-10.01357666,-2.061513062,4.26732605,11.07843063
1.568195083,-4.818779297,3.819457397,0.449066162,6.165269592
1.578208083,-1.631457367,3.069666595,-0.216749268,3.483028336
1.588222083,-2.556982727,1.125210114,1.740730133,3.291564956
1.598235083,-1.822609863,0.334254913,2.524350586,3.131449974
1.608249083,-2.51806366,0.205073547,4.308191071,4.994317777
1.618262083,-1.732347565,0.399818573,4.930896149,5.241623776
1.628275083,-1.339564362,-1.277443542,3.758384399,4.189480633
1.638289083,-1.952689362,-0.919986877,2.402503967,3.229767315
1.648302083,-3.487298126,0.641715546,2.161505127,4.152728197
1.658316083,-2.655926971,-0.614172821,6.36521347,6.924384367
1.668329083,-2.855761414,-4.468956757,8.993897095,10.44112698
1.678343083,-11.14567245,2.799628143,0.156275024,11.49296977
1.688356083,-7.633076935,1.015188904,3.925886078,8.643324216
1.698370083,-9.208850098,-1.670675812,4.620142365,10.43742273
1.708383083,-12.82802399,0.233664093,5.965544586,14.14922332
1.718397083,-14.33913162,-0.153580627,11.26242966,18.233941
1.728410083,-12.48628464,-3.411405945,11.80415314,17.51807712
1.738423083,-9.889185333,-6.884633331,8.381520538,14.67801244
1.748437083,-9.901609497,-10.07614655,0.518970795,14.13647518
1.758450083,-11.93887299,-10.72355026,-7.35510498,17.65301073
1.768464083,-2.770289154,-8.074658661,-2.461032257,8.884328577
1.778477083,-9.860594788,-7.695347443,-7.381450195,14.523619
1.788491083,-11.19641693,-8.315657501,-14.71784409,20.27621381
1.798504083,-9.62393692,-6.326893158,-18.10185699,21.45523166
1.808518083,-12.40949432,-5.288502502,-12.91334656,18.67400138
1.818531083,-13.77166168,-6.184239807,-9.135502625,17.64542138
1.828545083,-9.621541901,-6.799610138,-8.951086121,14.79630729
1.838558083,-12.08077789,-8.669671326,-4.914131012,15.66068578
1.848572083,-8.634793854,-10.52416489,-1.287622375,13.67390518
1.858585083,-8.034691772,-15.19909332,-0.87283493,17.21425428
1.868598083,-7.937543793,-15.12290176,-1.846709747,17.1789725
1.878612083,-7.99173111,-10.4416864,-3.560645599,13.62258339
1.888625083,-7.319329376,-8.910969543,-4.987927551,12.56413077
1.898639083,-6.184688873,-9.127120056,-6.53376297,12.81580101
1.908652083,-3.241359558,-8.765771484,-6.931785278,11.63592749
1.918666083,-4.490511932,-7.454947357,-4.336482239,9.723477553
1.928679083,-5.009782104,-7.844587097,-0.991987152,9.360528936
1.938693083,-8.756041718,-8.971144409,1.48715744,12.62383998
1.948706083,-14.47534836,-8.868457947,0.717907104,16.99119322
1.958720083,-17.33515137,-6.201903076,0.293389893,18.41350462
1.968733083,-15.00719238,-6.557413788,4.027973785,16.86535122
1.978746083,-15.72869202,-8.7124823,9.548493805,20.3586059
1.988760083,-20.71182953,-7.549550629,-4.841382294,22.57021443
1.998773083,-11.94111832,-9.160350952,-11.4835199,18.93075713
2.008787083,-4.151017914,-4.823719025,-4.573589172,7.836895614
2.018800083,-1.230590973,-1.978136444,-6.331084442,6.746110594
2.028814083,-1.910477142,-3.293301544,-7.145540771,8.096574022
2.038827083,-0.625249786,-3.695215759,-5.665418701,6.792829003
2.048841083,-0.040266266,-3.969295807,-3.302432556,5.163621923
2.058854083,-1.867666168,-5.027295685,-1.046773224,5.46421202
2.068868083,-4.035308533,-5.992937622,0.563727722,7.246847952
2.078881083,-5.864654388,-5.106331329,1.255888367,7.876931276
2.088894083,-6.459068298,-2.375859375,0.966091003,6.94964768
2.098908083,-4.033063202,-1.404229889,-0.435594177,4.292691773
2.108921083,-1.62053009,-1.63115799,-1.741179199,2.884180848
2.118935083,-0.10642868,-2.052681427,-2.431094513,3.183559115
2.128948083,-0.640518036,-1.949545898,-1.567689972,2.582371858
2.138962083,-3.024610291,-2.580783234,5.745202789,6.986849404
2.148975083,-6.210435333,-4.72133194,6.279292145,10.01448911
2.158989083,-11.86642365,-7.796686707,8.040529633,16.31718268
2.169002083,-13.5245256,-8.456514587,4.3117836,16.52322334
2.179016083,-9.420959015,-7.309300232,-4.665048981,12.80402361
2.189029083,-4.72836731,-7.801925812,-8.467292175,12.44678836
2.199042083,-1.777852936,-6.935976563,-4.841232605,8.643267037
2.209056083,-1.472188568,-6.262377319,-4.684358826,7.957884548
2.219069083,-1.857038269,-7.104526062,-4.950505371,8.856093107
2.229083083,-4.417463837,-7.836354218,-4.352947998,9.993527428
2.239096083,-8.662486267,-9.249266052,-4.592899017,13.47895813
2.249110083,-11.05975113,-10.83611618,-4.076472931,16.01115675
2.259123083,-11.90189987,-11.94515991,-3.553610229,17.23282367
2.269137083,-12.20861206,-11.07621689,-3.103945313,16.77400565
2.279150083,-7.306755524,-9.489217072,-1.481618958,12.06768875
2.289164083,-3.288810883,-9.867779846,-3.385210419,10.93841879
2.299177083,-4.247567139,-10.18272491,-4.144581299,11.78589273
2.309190083,-3.478765869,-9.272767181,-4.170028381,10.7459369
2.319204083,-3.874243469,-7.210655365,-3.959416351,9.092870344
2.329217083,-5.381159821,-5.910608826,-3.814068604,8.856596243
2.339231583,-6.760092316,-5.835465088,-3.470383301,9.580973915
2.349244583,-6.45891861,-6.448739777,-3.956123199,9.947601976
2.359258583,-6.683451691,-7.908354492,-4.005670166,11.10207146
2.369271583,-8.485703888,-10.71232361,0.147892456,13.66685479
2.379285583,-12.52699997,-12.48688339,-0.300425262,17.6900605
2.389298583,-11.63949554,-8.265362091,-3.645369415,14.73372951
2.399312583,-10.4523143,-3.462150421,-4.945116577,12.07027497
2.409325583,-8.723259888,-6.189179535,-9.97151413,14.62300586
2.419338583,-6.429429932,-8.699758759,-6.534661102,12.63824226
2.429352583,-4.528383179,-9.156758423,0.12633728,10.21608732
2.439365583,-3.234922943,-8.140072632,2.119442596,9.012077775
2.449379583,-2.723436584,-7.162754974,-0.474064178,7.677688617
2.459392583,-2.535726929,-6.987469482,-3.538192291,8.232462907
2.469406583,-3.022215271,-6.392606506,-5.920188904,9.222138567
2.479419583,-3.563938751,-5.841602325,-6.872059479,9.697998692
2.489433583,-4.196074219,-5.203030243,-6.072122955,9.030461768
2.499446583,-0.399070129,-4.287683716,-3.947291565,5.841626427
2.509460583,3.896098022,-4.749174042,-1.453776855,6.312503547
2.519473583,1.550475769,-6.713090057,-1.609453125,7.07530159
2.529486583,-3.267854462,-5.163362732,-2.428100739,6.575322097
2.539500583,-8.084388428,-3.783981171,-4.760700073,10.11632912
2.549513583,-11.61644348,-3.766317902,-7.028184814,14.08979388
2.559527583,-10.85063599,-5.320984955,-7.393425293,14.16728343
2.569540583,-7.632029114,-6.174809418,-6.448440399,11.74557463
2.579554583,-4.166136475,-6.117927704,-4.171974335,8.496534727
2.589567583,-0.160017242,-5.200036469,-0.490679626,5.225586215
2.599581583,-0.260458374,-4.847070465,2.291285248,5.367673495
2.609594583,-4.510121155,-6.760092316,7.019951935,10.73870412
2.619607583,-7.675438843,-11.46900009,-0.816402283,13.82450134
2.629621583,-6.346652069,-13.00854858,-3.476819916,14.88591971
2.639634583,-5.38594986,-12.9181366,-1.877695313,14.12134727
2.649648583,-4.405039673,-13.73483826,-1.53745285,14.50565123
2.659661583,-3.445085907,-15.65025513,1.010099487,16.05675569
2.669675583,-4.368665314,-18.37279358,2.57419693,19.05967655
2.679688583,-5.460195465,-19.11824341,0.607736206,19.89196594
2.689702583,-4.747677155,-12.9206813,-3.049009552,14.09896815
2.699715583,-4.604574738,-11.08594666,-2.829565887,12.33315713
2.709729583,-3.614533539,-12.12837891,-2.936144257,12.99166543
2.719742583,-2.976560211,-11.9493512,-2.540367279,12.57379698
2.729755583,-2.145338745,-10.45755341,-2.454595642,10.95390074
2.739769583,-1.597627716,-8.66098938,-1.775457916,8.984286403
2.749782583,-1.623823242,-6.994205475,-2.167792053,7.500335628
2.759796583,-2.039209442,-6.142177277,-2.925666046,7.102410764
2.769809583,-2.491868134,-5.895340576,-4.074676666,7.587320821
2.779823583,-3.20723053,-7.307354279,-3.497177582,8.712864355
2.789836583,-5.620661774,-12.93115952,1.39704483,14.16892584
2.799850583,-6.33138382,-17.23201584,3.25752594,18.64511373
2.809863583,-3.727548523,-13.14850754,-1.915865936,13.80030473
2.819877583,-2.547702026,-14.15381699,1.032103729,14.41827171
2.829890583,-1.883533173,-12.42356506,1.340163116,12.63679957
2.839903583,-2.330653381,-9.804012451,2.368824005,10.35190478
2.849917583,-3.574866028,-6.896608429,3.940555573,8.710387658
2.859930583,-4.746180267,-5.905070343,5.22323822,9.202081308
2.869944583,-5.935606842,-5.173242188,4.506528625,9.072081545
2.879957583,-6.845564575,-4.780159607,2.863545227,8.826753168
2.889971583,-7.4265065,-4.995411987,0.756975861,8.9822131
2.899984583,-7.724836121,-5.993985443,-1.149309998,9.844890454
2.909998583,-7.883057098,-7.411238251,-2.060315552,11.01426084
2.920011583,-7.136559448,-8.245303802,-2.296524353,11.14403606
2.930025583,-6.111042023,-8.510103149,-2.555934906,10.78422429
2.940038583,-5.424719238,-7.699987793,-2.24069046,9.681843036
2.950051583,-5.294340363,-7.495962067,-2.02888092,9.39871507
2.960065583,-5.359155579,-7.285799103,-2.701282654,9.439297911
2.970078583,-6.056106262,-7.038513336,-2.960693207,9.745911825
2.980092583,-6.913972321,-6.636449432,-2.961142273,10.03064494
2.990105583,-7.361242218,-6.193670197,-1.848056946,9.796160063
3.000119583,-7.515271912,-6.248456268,-0.501906281,9.786441006
3.010132583,-7.100484467,-6.959926758,0.81550415,9.976096789
3.020146583,-6.56534729,-7.270530853,1.255888367,9.876318115
3.030159583,-6.205645294,-7.698640594,1.513502655,10.00348893
3.040172583,-5.936055908,-7.645052032,-0.247435455,9.682190074
3.050186583,-4.221970367,-5.792504425,-2.957849121,7.754160994
3.060199583,-1.437011719,-4.080215149,-5.069358215,6.664199206
3.070213583,-2.123184814,-5.715564423,-4.670288086,7.680311272
3.080226583,-3.837270355,-7.026238861,-2.841091919,8.494967899
3.090240583,-5.054239655,-7.815248108,-2.340532837,9.596954487
3.100253583,-6.438261566,-8.45741272,-1.029858398,10.67893488
3.110267583,-7.785160675,-9.538913727,-1.889969788,12.45678882
3.120280583,-7.318131866,-9.812694397,-1.714684296,12.36058929
3.130294583,-6.255940704,-8.944350128,-1.487456818,11.01593033
3.140307583,-5.449268188,-7.492668915,-1.961221619,9.470005359
3.150320583,-4.377946014,-5.674699402,-1.835483093,7.398487872
3.160334583,-3.807631989,-4.554728394,-1.489253082,6.120578963
3.170347583,-3.980971527,-4.331991577,-1.472637634,6.064894634
3.180361583,-4.399201813,-4.454586639,-1.300345917,6.394311395
3.190374583,-5.290897522,-5.094206543,-1.149459686,7.434096748
3.200388583,-6.558611298,-6.591393127,-1.822310486,9.475371287
3.210401583,-7.571105804,-8.125403137,-2.527643738,11.39003082
3.220415583,-8.148305511,-9.087452545,-2.465971985,12.45221644
