window,label
1,jumping
2,jumping
3,jumping
4,jumping
5,jumping
6,jumping
7,jumping
8,jumping
9,jumping
10,jumping
11,jumping
12,jumping
13,jumping
14,jumping
15,jumping
16,jumping
17,jumping
18,jumping
19,jumping
20,jumping
21,jumping
22,jumping
23,jumping
24,jumping
25,jumping
26,jumping
27,jumping
28,jumping
29,jumping
30,jumping
31,jumping
32,jumping
33,jumping
34,jumping
35,jumping
36,jumping
37,jumping
38,jumping
39,jumping
40,jumping
41,jumping
42,jumping
43,jumping
44,jumping
45,jumping
46,jumping
47,jumping
48,jumping
49,jumping
50,jumping
51,jumping
52,jumping
53,jumping
54,jumping
55,jumping
56,jumping
57,jumping
58,jumping
59,jumping
60,jumping
61,jumping
62,jumping
63,jumping
64,jumping
65,jumping
66,jumping
67,jumping
68,jumping
69,jumping
70,jumping
71,jumping
72,jumping
73,jumping
74,jumping
75,jumping
76,jumping
77,jumping
78,jumping
79,jumping
80,jumping
81,jumping
82,jumping
83,jumping
84,jumping
85,jumping
86,jumping
87,jumping
88,jumping
89,jumping
90,jumping
91,jumping
92,jumping
93,jumping
94,jumping
95,jumping
96,jumping
97,jumping
98,jumping
99,jumping
100,jumping
101,jumping
102,jumping
103,jumping
104,jumping
105,jumping
106,jumping
107,jumping
108,jumping
109,jumping
110,jumping
111,jumping
112,jumping
113,jumping
114,jumping
115,jumping
116,jumping
117,jumping
118,jumping
119,jumping
120,jumping
121,jumping
122,jumping
123,jumping
124,jumping
